Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",1871,1912,40,Male,3rd Class Passenger,347077,£31             7s             9d,,Southampton,General Labourer,LOST,,142,"Swedish,American",https://www.encyclopedia-titanica.org/titanic-victim/carl-asplund.html
"ASPLUND, Mr Johan Charles",1889,1943,23,Male,3rd Class Passenger,350054,£7             15s             11d,,Southampton,,SAVED,13,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/johan-charles-asplund.html
"ASPLUND, Mrs Selma Augusta Emilia",1873,1964,38,Female,3rd Class Passenger,347077,£31             7s             9d,,Southampton,,SAVED,10,,Swedish,https://www.encyclopedia-titanica.org/titanic-survivor/selma-augusta-emilia-asplund.html
"ASSAM, Mr Ali",1889,1912,23,Male,3rd Class Passenger,3101309,£7             1s,,Southampton,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/ali-assam.html
"ASTOR, Colonel John Jacob",1864,1912,47,Male,1st Class Passenger,17757,£247             10s             6d,C-17/C-21?,Cherbourg,Property Developer / Real Estate,LOST,,124,American,https://www.encyclopedia-titanica.org/titanic-victim/john-jacob-astor.html
"ASTOR, Mrs Madeleine Talmage",1893,1940,18,Female,1st Class Passenger,17757,£247             10s             6d,C-17/C-21?,Cherbourg,,SAVED,4,,American,https://www.encyclopedia-titanica.org/titanic-survivor/madeleine-talmage-astor.html
"ATTALA, Mr Sleiman Khalil",1885,1912,27,Male,3rd Class Passenger,2694,£7             4s             6d,,Cherbourg,Journalist,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/sleiman-attala.html
"ATā ALLāH, Miss Malakah",1894,1912,18,Female,3rd Class Passenger,2627,£14             9s             2d,,Cherbourg,,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/malake-attalah.html
"AUBART, Mme. Léontine Pauline",1887,1964,24,Female,1st Class Passenger,17477,£69             6s,B35,Cherbourg,Singer,SAVED,9,,French,https://www.encyclopedia-titanica.org/titanic-survivor/leontine-pauline-aubart.html
"AUGUSTSSON, Mr Albert",1889,1912,23,Male,3rd Class Passenger,347468,£7             17s             1d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/albert-augustsson.html
